url,Name,Price,Rating,제조회사,등록년월,AMD CPU종류,소켓 구분,코어 수,스레드 수,메모리 규격,내장그래픽,세대 구분,출시일,제조 공정,,기본 클럭,최대 클럭,L2 캐시,L3 캐시,연산 체계,TDP,PPT,PCIe 버전,최대 PCIe 레인수,최대 메모리 크기,메모리 클럭,메모리 채널,GPU 모델명,GPU 코어 속도,SMT(하이퍼스레딩),AMD Ryzen Master,AMD 3D V캐시,패키지 형태,쿨러,시네벤치R23(싱글),시네벤치R23(멀티),적합성평가인증,안전확인인증,인텔 CPU종류,버스 속도,PBP-MTP,인텔 XTU,인텔 딥러닝부스트,StoreMI,VR Ready 프리미엄,SenseMI,인텔 퀵싱크,AMD Ryzen AI,옵테인,유통회사,AMD PRO
//img.danawa.com/prod_img/500000/435/799/img/28799435_1.jpg?shrink=130:130&_v=20240125174346,인텔 코어i7-14세대 14700K (랩터레이크 리프레시),532390원,4.9,인텔(제조사 웹사이트 바로가기),2023년 10월,,인텔(소켓1700),P8+E12코어,16+12스레드,"DDR5, DDR4",내장그래픽:탑재,,2023 4분기,10nm(인텔7),,3.4GHz,5.6GHz,28MB,33MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"5600, 3200MHz",2,인텔 UHD 770,"1,600MHz",○,,,정품,미포함,2069,34818,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i7-14세대,DMI4.0 8 GT/s,125-253W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/685/555/img/76555685_1.jpg?shrink=130:130&_v=20250221160310,인텔 코어i5-14세대 14600KF (랩터레이크 리프레시),280400원,5.0,인텔(제조사 웹사이트 바로가기),2025년 02월,,인텔(소켓1700),P6+E8코어,12+8스레드,"DDR5, DDR4",내장그래픽:미탑재,,2023 4분기,10nm(인텔7),,3.5GHz,5.3GHz,20MB,24MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"5600, 3200MHz",2,,,○,,,밸류팩(정품),미포함,2054,24086,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i5-14세대,DMI4.0 8 GT/s,125-181W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/914/790/img/77790914_1.jpg?shrink=130:130&_v=20250313091833,AMD 라이젠9-6세대 9950X3D (그래니트 릿지),1148990원,5.0,AMD(제조사 웹사이트 바로가기),2025년 03월,라이젠9-6세대,AMD(소켓AM5),16코어,32스레드,DDR5,내장그래픽:탑재,6세대(Zen5),2025 1분기,TSMC 4nm,,4.3GHz,5.7GHz,16MB,128MB,64비트,170W,,PCIe5.0,28(24)레인,192GB,5600MHz,2,AMD 라데온 그래픽,"2,200MHz",○,○,○,멀티팩(정품),미포함,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/082/794/img/62794082_1.jpg?shrink=130:130&_v=20240809080232,AMD 라이젠7-6세대 9700X (그래니트 릿지),462990원,4.9,AMD(제조사 웹사이트 바로가기),2024년 08월,라이젠7-6세대,AMD(소켓AM5),8코어,16스레드,DDR5,내장그래픽:탑재,6세대(Zen5),2024 3분기,TSMC 4nm,,3.8GHz,5.5GHz,8MB,32MB,64비트,65W,88W,PCIe5.0,28(24)레인,192GB,5600MHz,2,AMD 라데온 그래픽,"2,200MHz",○,○,,정품,Wraith Stealth 포함,2260,21436,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/079/794/img/62794079_1.jpg?shrink=130:130&_v=20240809080223,AMD 라이젠5-6세대 9600X (그래니트 릿지),344630원,5.0,AMD(제조사 웹사이트 바로가기),2024년 08월,라이젠5-6세대,AMD(소켓AM5),6코어,12스레드,DDR5,내장그래픽:탑재,6세대(Zen5),2024 3분기,TSMC 4nm,,3.9GHz,5.4GHz,6MB,32MB,64비트,65W,88W,PCIe5.0,28(24)레인,192GB,5600MHz,2,AMD 라데온 그래픽,"2,200MHz",○,,,멀티팩(정품),Wraith Stealth 포함,2223,16998,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/349/741/img/16741349_1.jpg?shrink=130:130&_v=20231130175443,AMD 라이젠7-4세대 5700X (버미어),212500원,4.8,AMD(제조사 웹사이트 바로가기),2022년 04월,라이젠7-4세대,AMD(소켓AM4),8코어,16스레드,DDR4,내장그래픽:미탑재,4세대(Zen3),2022 2분기,7nm,,3.4GHz,4.6GHz,4MB,32MB,64비트,65W,,PCIe4.0,24(20)레인,,3200MHz,2,,,○,○,,멀티팩(정품),미포함,1527,13293,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,○,○,,,,,,
//img.danawa.com/prod_img/500000/204/170/img/60170204_1.jpg?shrink=130:130&_v=20240716153534,AMD 라이젠5-5세대 8600G (피닉스),249000원,4.9,AMD(제조사 웹사이트 바로가기),2024년 07월,라이젠5-5세대,AMD(소켓AM5),6코어,12스레드,DDR5,내장그래픽:탑재,5세대(Zen4),2024 1분기,4nm,,4.3GHz,5.0GHz,6MB,16MB,64비트,65W,,PCIe4.0,20(16)레인,256GB,5200MHz,2,AMD 라데온 760M,"2,800MHz",○,,,멀티팩(정품),Wraith Stealth 포함,1662,13513,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,○,,,
//img.danawa.com/prod_img/500000/179/101/img/16101179_1.jpg?shrink=130:130&_v=20220119172656,인텔 코어i3-12세대 12100F (엘더레이크),112460원,4.8,인텔(제조사 웹사이트 바로가기),2022년 01월,,인텔(소켓1700),4코어,8스레드,"DDR5, DDR4",내장그래픽:미탑재,,2022 1분기,10nm(인텔7),,3.3GHz,4.3GHz,5MB,12MB,64비트,60~89W,,"PCIe5.0, 4.0",16+4레인,128GB,"4800, 3200MHz",2,,,○,,,정품,인텔 기본쿨러 포함,1666,8376,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i3-12세대,DMI4.0 8 GT/s,,,○,,,,,,○,,
//img.danawa.com/prod_img/500000/171/218/img/54218171_1.jpg?shrink=130:130&_v=20240913170840,AMD 라이젠5-4세대 5500GT (세잔),155000원,4.8,AMD(제조사 웹사이트 바로가기),2024년 01월,라이젠5-4세대,AMD(소켓AM4),6코어,12스레드,DDR4,내장그래픽:탑재,4세대(Zen3),2024 1분기,7nm,,3.6GHz,4.4GHz,3MB,16MB,64비트,65W,,PCIe3.0,,128GB,3200MHz,2,AMD 라데온 그래픽,"1,900MHz",○,○,,멀티팩(정품),Wraith Stealth 포함,,6905,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,○,,,,,
//img.danawa.com/prod_img/500000/353/101/img/16101353_1.jpg?shrink=130:130&_v=20230623112425,인텔 코어i5-12세대 12400F (엘더레이크),159500원,4.8,인텔(제조사 웹사이트 바로가기),2022년 01월,,인텔(소켓1700),6코어,12스레드,"DDR5, DDR4",내장그래픽:미탑재,,2022 1분기,10nm(인텔7),,2.5GHz,4.4GHz,7.5MB,18MB,64비트,65~117W,,"PCIe5.0, 4.0",16+4레인,128GB,"4800, 3200MHz",2,,,○,,,정품,인텔 기본쿨러 포함,1605,12201,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i5-12세대,DMI4.0 8 GT/s,,,○,,,,,,○,,
//img.danawa.com/prod_img/500000/387/140/img/63140387_1.jpg?shrink=130:130&_v=20240816001615,AMD 라이젠9-6세대 9900X (그래니트 릿지),864000원,4.3,AMD(제조사 웹사이트 바로가기),2024년 08월,라이젠9-6세대,AMD(소켓AM5),12코어,24스레드,DDR5,내장그래픽:탑재,6세대(Zen5),2024 3분기,TSMC 4nm,,4.4GHz,5.6GHz,12MB,64MB,64비트,120W,162W,PCIe5.0,28(24)레인,192GB,5600MHz,2,AMD 라데온 그래픽,"2,200MHz",○,○,,정품,미포함,2220,32038,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/538/718/img/18718538_1.jpg?shrink=130:130&_v=20240808142909,AMD 라이젠7-5세대 7700 (라파엘),351000원,4.9,AMD(제조사 웹사이트 바로가기),2023년 01월,라이젠7-5세대,AMD(소켓AM5),8코어,16스레드,DDR5,내장그래픽:탑재,5세대(Zen4),2023 1분기,5nm,,3.8GHz,5.3GHz,8MB,32MB,64비트,65W,88W,PCIe5.0,28(24)레인,128GB,5200MHz,2,AMD 라데온 그래픽,"2,200MHz",○,,,멀티팩(정품),Wraith PRISM 포함,1933,18854,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/890/790/img/77790890_1.jpg?shrink=130:130&_v=20250313091834,AMD 라이젠9-6세대 9900X3D (그래니트 릿지),888990원,N/A,AMD(제조사 웹사이트 바로가기),2025년 03월,라이젠9-6세대,AMD(소켓AM5),12코어,24스레드,DDR5,내장그래픽:탑재,6세대(Zen5),2025 1분기,TSMC 4nm,,4.4GHz,5.5GHz,12MB,128MB,64비트,120W,,PCIe5.0,28(24)레인,192GB,5600MHz,2,AMD 라데온 그래픽,"2,200MHz",○,○,○,멀티팩(정품),미포함,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/964/798/img/28798964_1.jpg?shrink=130:130&_v=20240618180159,인텔 코어i9-14세대 14900K (랩터레이크 리프레시),727600원,4.9,인텔(제조사 웹사이트 바로가기),2023년 10월,,인텔(소켓1700),P8+E16코어,16+16스레드,"DDR5, DDR4",내장그래픽:탑재,,2023 4분기,10nm(인텔7),,3.2GHz,6.0GHz,32MB,36MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"5600, 3200MHz",2,인텔 UHD 770,"1,650MHz",○,,,정품,미포함,2277,40146,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i9-14세대,DMI4.0 8 GT/s,125-253W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/001/038/img/32038001_1.jpg?shrink=130:130&_v=20240125174413,인텔 코어i7-14세대 14700 (랩터레이크 리프레시),496230원,4.9,인텔(제조사 웹사이트 바로가기),2024년 01월,,인텔(소켓1700),P8+E12코어,16+12스레드,"DDR5, DDR4",내장그래픽:탑재,,2024 1분기,10nm(인텔7),,2.1GHz,5.4GHz,28MB,33MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"5600, 3200MHz",2,인텔 UHD 770,,○,,,정품,인텔 기본쿨러 포함,2077,31928,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i7-14세대,DMI4.0 8 GT/s,65-219W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/865/336/img/34336865_1.jpg?shrink=130:130&_v=20240913133448,AMD 라이젠7-4세대 5700X3D (버미어),599000원,4.9,AMD(제조사 웹사이트 바로가기),2024년 01월,라이젠7-4세대,AMD(소켓AM4),8코어,16스레드,DDR4,내장그래픽:미탑재,4세대(Zen3),2024 1분기,7nm,,3.0GHz,4.1GHz,4MB,96MB,64비트,105W,142W,PCIe4.0,24(20)레인,128GB,3200MHz,2,,,○,○,○,멀티팩(정품),미포함,1367,13788,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,○,○,,,,,,
//img.danawa.com/prod_img/500000/936/156/img/32156936_1.jpg?shrink=130:130&_v=20240125174440,인텔 코어i7-14세대 14700F (랩터레이크 리프레시),454970원,4.9,인텔(제조사 웹사이트 바로가기),2024년 01월,,인텔(소켓1700),P8+E12코어,16+12스레드,"DDR5, DDR4",내장그래픽:미탑재,,2024 1분기,10nm(인텔7),,2.1GHz,5.4GHz,28MB,33MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"5600, 3200MHz",2,,,○,,,정품,인텔 기본쿨러 포함,2091,32090,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i7-14세대,DMI4.0 8 GT/s,65-219W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/379/640/img/18640379_1.jpg?shrink=130:130&_v=20240311175944,인텔 코어i7-13세대 13700F (랩터레이크),462390원,4.8,인텔(제조사 웹사이트 바로가기),2023년 01월,,인텔(소켓1700),P8+E8코어,16+8스레드,"DDR5, DDR4",내장그래픽:미탑재,,2023 1분기,10nm(인텔7),,2.1GHz,5.2GHz,24MB,30MB,64비트,,,"PCIe5.0, 4.0",16+4레인,128GB,"5600, 3200MHz",2,,,○,,,정품,인텔 기본쿨러 포함,2019,28177,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i7-13세대,DMI4.0 8 GT/s,65-219W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/265/625/img/12625265_1.jpg?shrink=130:130&_v=20231130175313,AMD 라이젠5-4세대 5600X (버미어),180000원,4.8,AMD(제조사 웹사이트 바로가기),2020년 11월,라이젠5-4세대,AMD(소켓AM4),6코어,12스레드,DDR4,내장그래픽:미탑재,4세대(Zen3),2020 4분기,7nm,,3.7GHz,4.6GHz,3MB,32MB,64비트,65W,,PCIe4.0,24(20)레인,,3200MHz,,,,○,○,,멀티팩(정품),Wraith Stealth 포함,1502,11073,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,○,○,,,,,,
//img.danawa.com/prod_img/500000/280/465/img/76465280_1.jpg?shrink=130:130&_v=20250220083529,AMD 라이젠5-6세대 9600 (그래니트 릿지),326980원,N/A,AMD(제조사 웹사이트 바로가기),2025년 02월,라이젠5-6세대,AMD(소켓AM5),6코어,12스레드,DDR5,내장그래픽:탑재,6세대(Zen5),2025 1분기,TSMC 4nm,,3.8GHz,5.2GHz,6MB,32MB,64비트,65W,88W,PCIe5.0,28(24)레인,192GB,5600MHz,2,AMD 라데온 그래픽,"2,200MHz",○,,,멀티팩(정품),Wraith Stealth 포함,2223,16998,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/820/038/img/32038820_1.jpg?shrink=130:130&_v=20240125174820,인텔 코어i3-14세대 14100 (랩터레이크 리프레시),170520원,4.7,인텔(제조사 웹사이트 바로가기),2024년 01월,,인텔(소켓1700),P4코어,8스레드,"DDR5, DDR4",내장그래픽:탑재,,2024 1분기,10nm(인텔7),,3.5GHz,4.7GHz,5MB,12MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"4800, 3200MHz",2,인텔 UHD 730,"1,500MHz",○,,,정품,인텔 기본쿨러 포함,1733,9285,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i3-14세대,DMI4.0 8 GT/s,60-110W,,○,,,,○,,,,
//img.danawa.com/prod_img/500000/580/038/img/32038580_1.jpg?shrink=130:130&_v=20240125174747,인텔 코어i5-14세대 14400 (랩터레이크 리프레시),247080원,4.9,인텔(제조사 웹사이트 바로가기),2024년 01월,,인텔(소켓1700),P6+E4코어,12+4스레드,"DDR5, DDR4",내장그래픽:탑재,,2024 1분기,10nm(인텔7),,2.5GHz,4.7GHz,9.5MB,20MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"4800, 3200MHz",2,인텔 UHD 730,"1,550MHz",○,,,정품,인텔 기본쿨러 포함,1796,17802,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i5-14세대,DMI4.0 8 GT/s,65-148W,,○,,,,○,,,,
//img.danawa.com/prod_img/500000/197/613/img/20613197_1.jpg?shrink=130:130&_v=20240808141021,AMD 라이젠9-5세대 7950X (라파엘),693540원,4.9,AMD(제조사 웹사이트 바로가기),2023년 06월,라이젠9-5세대,AMD(소켓AM5),16코어,32스레드,DDR5,내장그래픽:탑재,5세대(Zen4),2022 3분기,5nm,,4.5GHz,5.7GHz,16MB,64MB,64비트,170W,230W,PCIe5.0,28(24)레인,128GB,5200MHz,2,AMD 라데온 그래픽,"2,200MHz",○,,,멀티팩(정품),미포함,2025,36836,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/722/630/img/18630722_1.jpg?shrink=130:130&_v=20221230092901,AMD 라이젠9-4세대 5950X (버미어),652000원,5.0,AMD(제조사 웹사이트 바로가기),2020년 11월,라이젠9-4세대,AMD(소켓AM4),16코어,32스레드,DDR4,내장그래픽:미탑재,4세대(Zen3),2020 4분기,7nm,,3.4GHz,4.9GHz,8MB,64MB,64비트,105W,,PCIe4.0,24(20)레인,,3200MHz,,,,○,○,,멀티팩(정품),미포함,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,○,○,,,,,,
//img.danawa.com/prod_img/500000/180/799/img/28799180_1.jpg?shrink=130:130&_v=20240125174139,인텔 코어i9-14세대 14900KF (랩터레이크 리프레시),669780원,5.0,인텔(제조사 웹사이트 바로가기),2023년 10월,,인텔(소켓1700),P8+E16코어,16+16스레드,"DDR5, DDR4",내장그래픽:미탑재,,2023 4분기,10nm(인텔7),,3.2GHz,6.0GHz,32MB,36MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"5600, 3200MHz",2,,,○,,,정품,미포함,2268,40408,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i9-14세대,DMI4.0 8 GT/s,125-253W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/280/640/img/18640280_1.jpg?shrink=130:130&_v=20240126123957,인텔 코어i5-13세대 13400F (랩터레이크),189720원,4.9,인텔(제조사 웹사이트 바로가기),2023년 01월,,인텔(소켓1700),P6+E4코어,12+4스레드,"DDR5, DDR4",내장그래픽:미탑재,,2023 1분기,10nm(인텔7),,2.5GHz,4.6GHz,9.5MB,20MB,64비트,,,"PCIe5.0, 4.0",16+4레인,128GB,"4800, 3200MHz",2,,,○,,,정품,인텔 기본쿨러 포함,1789,14621,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i5-13세대,DMI4.0 8 GT/s,65-148W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/286/640/img/18640286_1.jpg?shrink=130:130&_v=20240311180113,인텔 코어i5-13세대 13400 (랩터레이크),241330원,4.9,인텔(제조사 웹사이트 바로가기),2023년 01월,,인텔(소켓1700),P6+E4코어,12+4스레드,"DDR5, DDR4",내장그래픽:탑재,,2023 1분기,10nm(인텔7),,2.5GHz,4.6GHz,9.5MB,20MB,64비트,,,"PCIe5.0, 4.0",16+4레인,128GB,"4800, 3200MHz",2,인텔 UHD 730,"1,550MHz",○,,,정품,인텔 기본쿨러 포함,1785,15991,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i5-13세대,DMI4.0 8 GT/s,65-154W,○,○,,,,○,,,,
