url,Name,Price,Rating,제조회사,등록년월,사용 장치,제품 분류,메모리 규격,메모리 용량,동작클럭(대역폭),램타이밍,동작전압,램개수,온다이ECC,,히트싱크,높이,적합성평가인증,안전확인인증,두께,LED 라이트,XMP3.0,EXPO,방열판 색상,LED색상,AURA SYNC,MYSTIC LIGHT,RGB FUSION,CORSAIR iCUE,POLYCHROME,XPG RGB,온도센서,클럭드라이버,XMP,RGB SYNC,ECC,REG,유통회사,RAZER CHROMA,TT RGB PLUS,T-FORCE BLITZ,G.SKILL Lighting
//img.danawa.com/prod_img/500000/126/369/img/20369126_1.jpg?shrink=130:130&_v=20250212135911,마이크론 Crucial DDR5-5600 CL46 대원씨티에스,295000원,4.8,마이크론(제조사 웹사이트 바로가기),2022년 12월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),CL46-45-45,1.10V,1개,○,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/680/966/img/54966680_1.jpg?shrink=130:130&_v=20240529181356,마이크론 Crucial 노트북 DDR5-5600 CL46 대원씨티에스,124000원,4.8,마이크론(제조사 웹사이트 바로가기),2024년 05월,노트북용,DDR5,SO-DIMM,16GB,5600MHz (PC5-44800),CL46-45-45,1.10V,1개,○,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/501/144/img/56144501_1.jpg?shrink=130:130&_v=20240611173103,PATRIOT DDR5-6000 CL30 VIPER VENOM 패키지,274020원,N/A,PATRIOT(제조사 웹사이트 바로가기),2024년 06월,데스크탑용,DDR5,DIMM(UDIMM),64GB,6000MHz (PC5-48000),30-40-40-76,1.35V,2개,○,,방열판,43mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,7mm,,○,○,블랙,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/141/397/img/11397141_1.jpg?shrink=130:130&_v=20210818145015,삼성전자 노트북 DDR4-3200,97800원,4.8,삼성전자(제조사 웹사이트 바로가기),2020년 05월,노트북용,DDR4,SO-DIMM,16GB,3200MHz (PC4-25600),,,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/100/788/img/68788100_1.jpg?shrink=130:130&_v=20241021173008,ADATA DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지 서린,344990원,4.0,ADATA(제조사 웹사이트 바로가기),2024년 10월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-40-40,1.35V,2개,○,,방열판,40mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,7.86mm,○,○,○,화이트,RGB,○,○,○,,○,○,,,,,,,,,,,
//img.danawa.com/prod_img/500000/829/770/img/17770829_1.jpg?shrink=130:130&_v=20250421170425,OLOy DDR5-6000 CL32 BLADE RGB MIRROR 패키지 올로코리아,378790원,4.8,OLOy(제조사 웹사이트 바로가기),2022년 09월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL32-38-38-76,1.35V,2개,○,,방열판,39mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,,실버/그레이,RGB,○,○,○,,○,,○,,,,,,,,,,
//img.danawa.com/prod_img/500000/066/369/img/20369066_1.jpg?shrink=130:130&_v=20231201123820,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,365260원,4.8,마이크론(제조사 웹사이트 바로가기),2023년 05월,데스크탑용,DDR5,DIMM(UDIMM),32GB,5600MHz (PC5-44800),CL46-45-45,1.10V,2개,○,,방열판,31.9mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,○,○,블랙,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/972/952/img/19952972_1.jpg?shrink=130:130&_v=20231109165236,삼성전자 노트북 DDR5-5600,143170원,4.8,삼성전자(제조사 웹사이트 바로가기),2023년 04월,노트북용,DDR5,SO-DIMM,16GB,5600MHz (PC5-44800),,,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/636/010/img/79010636_1.jpg?shrink=130:130&_v=20250402153358,ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE AMD 패키지 서린,194000원,N/A,ESSENCORE(제조사 웹사이트 바로가기),2025년 04월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-36-36-76,1.35V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,8mm,○,○,○,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/666/937/img/5937666_1.jpg?shrink=130:130&_v=20221028142705,삼성전자 DDR4-2666,47190원,4.7,삼성전자,2018년 03월,데스크탑용,DDR4,DIMM(UDIMM),8GB,2666MHz (PC4-21300),,,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/958/610/img/18610958_1.jpg?shrink=130:130&_v=20221228112017,G.SKILL DDR5-6000 CL32 TRIDENT Z5 NEO RGB J 패키지,364000원,5.0,G.SKILL(제조사 웹사이트 바로가기),2022년 12월,데스크탑용,DDR5,DIMM(UDIMM),64GB,6000MHz (PC5-48000),CL32-38-38-96,1.40V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,○,블랙,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/211/791/img/77791211_1.jpg?shrink=130:130&_v=20250312181406,마이크론 Crucial DDR5-6400 CL52 CUDIMM 대원씨티에스,357510원,N/A,마이크론(제조사 웹사이트 바로가기),2025년 03월,데스크탑용,DDR5,CUDIMM,64GB,6400MHz (PC5-51200),CL52-52-52-103,1.10V,1개,○,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,○,,,,,,,,,
//img.danawa.com/prod_img/500000/278/998/img/31998278_1.jpg?shrink=130:130&_v=20240105125555,타무즈 DDR5-5600 CL46,178960원,N/A,타무즈(제조사 웹사이트 바로가기),2024년 01월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),CL46-45-45-90,1.10V,1개,○,,미포함,31mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/424/117/img/79117424_1.jpg?shrink=130:130&_v=20250403172219,GeIL DDR5-5600 CL46 PRISTINE V AMD,61000원,N/A,GeIL(제조사 웹사이트 바로가기),2025년 04월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),CL46-46-46-90,1.10V,1개,○,,미포함,31.3mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,○,○,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/443/639/img/21639443_1.jpg?shrink=130:130&_v=20231114151515,G.SKILL DDR5-6000 CL36 TRIDENT Z5 RGB 화이트 패키지,168990원,4.8,G.SKILL(제조사 웹사이트 바로가기),2023년 07월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL36-36-36-96,1.35V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,○,,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/634/218/img/71218634_1.jpg?shrink=130:130&_v=20241114125142,G.SKILL DDR5-6000 CL36 RIPJAWS M5 RGB 블랙 패키지,158110원,5.0,G.SKILL(제조사 웹사이트 바로가기),2024년 11월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL36-36-36-96,1.35V,2개,○,,,41mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,○,,블랙,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/892/378/img/64378892_1.jpg?shrink=130:130&_v=20240828165721,GeIL DDR5-6000 CL38 ORION V RGB White 패키지,143550원,5.0,GeIL(제조사 웹사이트 바로가기),2024년 08월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL38-44-44-84,1.35V,2개,○,,방열판,38mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,○,○,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/055/100/img/54100055_1.jpg?shrink=130:130&_v=20240520094058,마이크론 Crucial DDR5-6000 CL36 PRO Overclocking White 패키지 대원씨티에스,129990원,5.0,마이크론(제조사 웹사이트 바로가기),2024년 05월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL36-38-38-80,1.35V,2개,○,,방열판,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,○,○,화이트,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/405/480/img/9480405_1.jpg?shrink=130:130&_v=20201228142001,G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,139000원,4.8,G.SKILL(제조사 웹사이트 바로가기),2019년 09월,데스크탑용,DDR4,DIMM(UDIMM),32GB,3600MHz (PC4-28800),CL16-19-19-39,1.35V,2개,,,방열판,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,,블랙,RGB,○,○,○,,○,,,,○,,,,,,,,
//img.danawa.com/prod_img/500000/268/886/img/27886268_1.jpg?shrink=130:130&_v=20231116125218,ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB 패키지 서린,246990원,5.0,ESSENCORE(제조사 웹사이트 바로가기),2023년 08월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-36-36-76,1.35V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,8mm,○,○,○,블랙,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/998/151/img/56151998_1.jpg?shrink=130:130&_v=20240712132657,G.SKILL DDR5-6000 CL30 RIPJAWS M5 RGB 화이트 패키지,358990원,5.0,G.SKILL(제조사 웹사이트 바로가기),2024년 06월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-40-40-96,1.35V,2개,○,,,41mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,○,,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/068/393/img/6393068_1.jpg?shrink=130:130&_v=20220621082700,삼성전자 노트북 DDR4-2666,169960원,4.7,삼성전자,2018년 08월,노트북용,DDR4,SO-DIMM,16GB,2666MHz (PC4-21300),,1.20V,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/892/341/img/74341892_1.jpg?shrink=130:130&_v=20250114180532,TeamGroup T-Force DDR5-6000 CL28 Delta RGB 화이트 패키지 서린,197990원,N/A,TeamGroup(제조사 웹사이트 바로가기),2025년 01월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL28-36-36-76,1.40V,2개,○,,방열판,46.1mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,7mm,○,○,○,화이트,RGB,○,○,○,,○,,,,,○,,,,,,,
//img.danawa.com/prod_img/500000/083/431/img/11431083_1.jpg?shrink=130:130&_v=20200821131607,G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,217500원,4.9,G.SKILL(제조사 웹사이트 바로가기),2020년 05월,데스크탑용,DDR4,DIMM(UDIMM),32GB,3600MHz (PC4-28800),CL18-22-22-42,1.35V,2개,,,방열판,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,,블랙,RGB,○,○,○,,○,,,,○,,,,,,,,
//img.danawa.com/prod_img/500000/893/931/img/17931893_1.jpg?shrink=130:130&_v=20240618180038,G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지,169000원,4.9,G.SKILL(제조사 웹사이트 바로가기),2022년 10월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL36-36-36-96,1.35V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,○,블랙,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/505/724/img/75724505_1.jpg?shrink=130:130&_v=20250207170209,G.SKILL DDR5-6000 CL30 RIPJAWS M5 NEO RGB 화이트 패키지,484030원,N/A,G.SKILL(제조사 웹사이트 바로가기),2025년 02월,데스크탑용,DDR5,DIMM(UDIMM),96GB,6000MHz (PC5-48000),CL30-36-36-96,1.35V,2개,○,,,41mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,○,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/125/989/img/37989125_1.jpg?shrink=130:130&_v=20240228111832,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB WHITE 패키지 서린,364300원,5.0,ESSENCORE(제조사 웹사이트 바로가기),2024년 02월,데스크탑용,DDR5,DIMM(UDIMM),64GB,6400MHz (PC5-51200),CL32-38-38-78,1.35V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,8mm,○,○,,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/502/666/img/58666502_1.jpg?shrink=130:130&_v=20240628164844,G.SKILL DDR5-6400 CL32 TRIDENT Z5 ROYAL 실버 패키지,399000원,N/A,G.SKILL(제조사 웹사이트 바로가기),2024년 06월,데스크탑용,DDR5,DIMM(UDIMM),64GB,6400MHz (PC5-51200),CL32-39-39-102,1.40V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,○,,실버/그레이,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/050/340/img/74340050_1.jpg?shrink=130:130&_v=20250123155115,ESSENCORE KLEVV DDR5-6400 CL52 CUDIMM 파인인포,77690원,N/A,ESSENCORE(제조사 웹사이트 바로가기),2025년 01월,데스크탑용,DDR5,CUDIMM,16GB,6400MHz (PC5-51200),CL52-52-52-103,1.10V,1개,,,미포함,31.25mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,,,,,,,,,,,○,,,,,,,,,
//img.danawa.com/prod_img/500000/018/695/img/21695018_1.jpg?shrink=130:130&_v=20240220145430,GeIL DDR5-4800 CL40 PRISTINE V,59000원,5.0,GeIL(제조사 웹사이트 바로가기),2023년 07월,데스크탑용,DDR5,DIMM(UDIMM),16GB,4800MHz (PC5-38400),CL40-40-40-77,1.10V,1개,○,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/959/061/img/71061959_1.jpg?shrink=130:130&_v=20241112104629,마이크론 Crucial DDR5-6400 CL38 PRO Overclocking 패키지 대원씨티에스,147000원,4.6,마이크론(제조사 웹사이트 바로가기),2024년 11월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6400MHz (PC5-51200),CL38-40-40-84,1.35V,2개,○,,방열판,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,○,○,블랙,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/319/421/img/72421319_1.jpg?shrink=130:130&_v=20250307153828,ESSENCORE KLEVV DDR5-6000 CL32 FIT V,66930원,5.0,ESSENCORE(제조사 웹사이트 바로가기),2024년 12월,데스크탑용,DDR5,DIMM(UDIMM),16GB,6000MHz (PC5-48000),CL32-38-38-88,1.35V,1개,○,,방열판,33.21mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,6.2mm,,○,○,화이트,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/363/216/img/71216363_1.jpg?shrink=130:130&_v=20241114092617,ESSENCORE KLEVV DDR5-5600 CL46 NEO 파인인포,62820원,4.5,ESSENCORE(제조사 웹사이트 바로가기),2024년 11월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),CL46-46-46-90,1.10V,1개,○,,미포함,31.25mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,3.18mm,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/360/767/img/18767360_1.jpg?shrink=130:130&_v=20230116144057,TeamGroup DDR5-5200 CL42 Elite 서린,63000원,4.9,TeamGroup(제조사 웹사이트 바로가기),2023년 01월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5200MHz (PC5-41600),CL42-42-42-84,1.10V,1개,,,미포함,32mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/716/678/img/21678716_1.jpg?shrink=130:130&_v=20230904162419,삼성전자 DDR5-4800 ECC/REG,1779190원,4.5,삼성전자(제조사 웹사이트 바로가기),2023년 07월,서버용,DDR5,RDIMM,64GB,4800MHz (PC5-38400),,,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,○,○,,,,,
//img.danawa.com/prod_img/500000/765/022/img/40022765_1.jpg?shrink=130:130&_v=20240311143346,G.SKILL DDR5-6000 CL30 FLARE X5 J 패키지,339000원,5.0,G.SKILL(제조사 웹사이트 바로가기),2024년 03월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-38-38-96,1.35V,2개,○,,방열판,33mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,○,블랙,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/827/578/img/40578827_1.jpg?shrink=130:130&_v=20241220182520,G.SKILL DDR5-6000 CL30 TRIDENT Z5 NEO RGB J 화이트 패키지,398940원,5.0,G.SKILL(제조사 웹사이트 바로가기),2024년 03월,데스크탑용,DDR5,DIMM(UDIMM),64GB,6000MHz (PC5-48000),CL30-36-36-96,1.40V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,○,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/742/593/img/9593742_1.jpg?shrink=130:130&_v=20231113182416,G.SKILL DDR4-3200 CL16 AEGIS,38080원,4.8,G.SKILL(제조사 웹사이트 바로가기),2019년 09월,데스크탑용,DDR4,DIMM(UDIMM),16GB,3200MHz (PC4-25600),CL16-18-18-38,1.35V,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,○,,,,,,,,
