url,Name,Price,Rating,제조회사,등록년월,제품 분류,디스크 크기,디스크 용량,인터페이스,회전수,버퍼 용량,전송 속도,기록방식,디스크 수,두께,작업부하량,소음(유휴/탐색),2년,,적합성평가인증,안전확인인증,헬륨충전,RV센서,사용보증,5년,데이터 복구 3년,S.M.A.R.T 지원,3년,SED,DSA,저전력,1년,ISE,데이터 복구 2년
//img.danawa.com/prod_img/500000/761/765/img/15765761_1.jpg?shrink=130:130&_v=20240731155138,Western Digital WD Blue 5640/128M,208050원,4.7,Western Digital WD,2021년 11월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,640RPM",메모리 128MB,185MB/s,CMR(PMR),,26.1mm,,25/30dB,○,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/887/928/img/59928887_1.jpg?shrink=130:130&_v=20240710141950,Western Digital WD RED Plus 5640/256M,355000원,5.0,Western Digital(제조사 웹사이트 바로가기),2024년 07월,HDD (NAS용),8.9cm(3.5인치),8TB,SATA3 (6Gb/s),"5,640RPM",메모리 256MB,215MB/s,CMR(PMR),,26.1mm,180 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,○,,,,,,
//img.danawa.com/prod_img/500000/489/654/img/1654489_1.jpg?shrink=130:130&_v=20200528155132,도시바 MQ01ABD SATA2/5400/8M/노트북용,53960원,4.7,도시바,2012년 02월,HDD (노트북용),6.4cm(2.5인치),1TB,SATA2(3Gb/s),"5,400RPM",메모리 8MB,,SMR(PMR),플래터 2장,9.5mm,,23/24dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,○,,
//img.danawa.com/prod_img/500000/034/490/img/4490034_1.jpg?shrink=130:130&_v=20220629140659,Seagate BarraCuda 7200/64M,84990원,4.7,Seagate,2016년 09월,HDD (PC용),8.9cm(3.5인치),1TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,210MB/s,TGMR,플래터 1장,20.2mm,55 TB/Y,22/23dB,○,,KCC-REM-STX-STR009인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/242/477/img/18477242_1.jpg?shrink=130:130&_v=20230413102242,Seagate SkyHawk 5400/256M,356460원,5.0,Seagate,2022년 12월,HDD (CCTV용),8.9cm(3.5인치),8TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,180MB/s,CMR(PMR),플래터 5장,26.1mm,180 TB/Y,30/34dB,,,R-R-STX-SKR007인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,100만시간,,○,,○,,,,,,
//img.danawa.com/prod_img/500000/148/993/img/5993148_1.jpg?shrink=130:130&_v=20240805110240,Western Digital WD Purple 5400/64M,280000원,4.7,Western Digital WD,2018년 03월,HDD (CCTV용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,175MB/s,CMR(PMR),,26.1mm,180 TB/Y,25/28dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,100만시간,,,,○,,,○,,,
//img.danawa.com/prod_img/500000/032/964/img/14964032_1.jpg?shrink=130:130&_v=20250327154526,Western Digital Ultrastar DC HC520 박스 패키지 7200/256M HUH721212ALE600,3520000원,N/A,Western Digital(제조사 웹사이트 바로가기),2019년 04월,HDD (기업용),8.9cm(3.5인치),12TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,255MB/s,CMR(PMR),플래터 8장,26.1mm,,20/36dB,,,MSIP-REM-HGJ-US7SAM120인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,,,○,○,,,,,,
//img.danawa.com/prod_img/500000/682/971/img/74971682_1.jpg?shrink=130:130&_v=20250122180932,도시바 N300 7200/512M,799900원,N/A,도시바(제조사 웹사이트 바로가기),2025년 01월,HDD (NAS용),8.9cm(3.5인치),22TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,281MB/s,CMR(PMR),,26.1mm,180 TB/Y,20/32dB,,,R-R-T48-MG10AFA22TE인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,120만시간,,,,○,,,,,,
//img.danawa.com/prod_img/500000/146/298/img/7298146_1.jpg?shrink=130:130&_v=20240424145133,Western Digital Ultrastar DC HC310 7200/256M,289000원,5.0,Western Digital(제조사 웹사이트 바로가기),2019년 02월,HDD (기업용),8.9cm(3.5인치),6TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,222MB/s,CMR(PMR),,26.1mm,,29/36dB,,,MSIP-REM-WDT-US7SAN6T0인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,200만시간,○,,○,,,,,,,
//img.danawa.com/prod_img/500000/925/725/img/14725925_1.jpg?shrink=130:130&_v=20250408152518,Western Digital Ultrastar DC HC320 박스 패키지 7200/256M HUS728T8TALE6L4,2560000원,N/A,Western Digital,2019년 04월,HDD (기업용),8.9cm(3.5인치),8TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,255MB/s,CMR(PMR),플래터 5장,26.1mm,,29/36dB,,,R-REM-WDT-US7SAN8T0인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,200만시간,,,,○,,○,,,,
//img.danawa.com/prod_img/500000/460/896/img/9896460_1.jpg?shrink=130:130&_v=20240620151736,Western Digital WD RED Pro 7200/256M,669000원,N/A,Western Digital WD,2019년 11월,HDD (NAS용),8.9cm(3.5인치),12TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,240MB/s,CMR(PMR),,26.1mm,300 TB/Y,20/36dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,100만시간,○,,○,,,,○,,,
//img.danawa.com/prod_img/500000/497/074/img/73074497_1.jpg?shrink=130:130&_v=20250203133212,도시바 MG10ADA Enterprise 7200/512M,439000원,N/A,도시바(제조사 웹사이트 바로가기),2024년 12월,HDD (기업용),8.9cm(3.5인치),10TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,268MB/s,CMR(PMR),,26.1mm,550 TB/Y,,,,R-R-T48-MG10ADA10TE인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,200만시간,○,,,,,○,○,,,
//img.danawa.com/prod_img/500000/737/805/img/14805737_1.jpg?shrink=130:130&_v=20240620140944,Western Digital Ultrastar DC HC530 박스 패키지 7200/512M WUH721414ALE6L4,3920000원,N/A,Western Digital,2019년 04월,HDD (기업용),8.9cm(3.5인치),14TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,267MB/s,CMR(PMR),플래터 8장,26.1mm,,20/36dB,,,MSIP-REM-WDT-US7SAP140인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,,,○,○,,○,○,,,
//img.danawa.com/prod_img/500000/708/962/img/54962708_1.jpg?shrink=130:130&_v=20250402172009,Seagate IronWolf 7200/256M/해외구매,1025790원,N/A,Seagate,2024년 05월,HDD (NAS용),8.9cm(3.5인치),18TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,240MB/s,CMR(PMR),,26.11mm,180 TB/Y,28/30dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,100만시간,,,○,,,,,,,
//img.danawa.com/prod_img/500000/634/411/img/4411634_1.jpg?shrink=130:130&_v=20200528104125,Seagate SkyHawk 7200/256M,539000원,4.0,Seagate,2016년 09월,HDD (CCTV용),8.9cm(3.5인치),10TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,210MB/s,CMR(PMR),,26mm,180 TB/Y,28/32dB,,,KCC-REM-STX-STR00D인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,,100만시간,,,,○,,,,,,
//img.danawa.com/prod_img/500000/055/639/img/5639055_1.jpg?shrink=130:130&_v=20200528101943,Seagate IronWolf 5900/64M/해외구매,136440원,N/A,Seagate,2017년 11월,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,900RPM",메모리 64MB,,CMR(PMR),,26mm,,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,,,,,,,,,,
//img.danawa.com/prod_img/500000/086/252/img/39252086_1.jpg?shrink=130:130&_v=20250204163608,Western Digital Ultrastar DC HC560 박스 패키지 7200/512M WUH722020ALE6L4,5680000원,N/A,Western Digital(제조사 웹사이트 바로가기),2024년 03월,HDD (기업용),8.9cm(3.5인치),20TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,269MB/s,CMR(PMR),플래터 9장,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,,,○,○,,○,,,,
//img.danawa.com/prod_img/500000/129/645/img/17645129_1.jpg?shrink=130:130&_v=20250204163609,Western Digital Ultrastar DC HC570 7200/512M,819000원,4.7,Western Digital(제조사 웹사이트 바로가기),2022년 08월,HDD (기업용),8.9cm(3.5인치),22TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,291MB/s,CMR(PMR),플래터 10장,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,○,,,,,,,,,
//img.danawa.com/prod_img/500000/016/137/img/7137016_1.jpg?shrink=130:130&_v=20200528134423,Sebap Amigos 7200/32M/리퍼비시,21900원,4.9,Sebap,2019년 01월,HDD (리퍼비시),8.9cm(3.5인치),500GB,SATA3 (6Gb/s),"7,200RPM",메모리 32MB,140MB/s,확인요망(PMR),,26.1mm,,,,,R-R-BdC-SM1050RS인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/154/785/img/14785154_1.jpg?shrink=130:130&_v=20240731155139,Western Digital WD Blue 5400/256M/해외구매,176270원,5.0,Western Digital WD,2019년 04월,HDD (PC용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,180MB/s,SMR(PMR),,26.1mm,,23/27dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/966/008/img/12008966_1.jpg?shrink=130:130&_v=20220617150306,도시바 P300 5400/128M,189820원,4.8,도시바,2020년 08월,HDD (PC용),8.9cm(3.5인치),6TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,185MB/s,SMR(PMR),,26.1mm,55 TB/Y,24/25dB,○,,R-R-T48-DT02ABA600V인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,○,○,,,
//img.danawa.com/prod_img/500000/821/288/img/6288821_1.jpg?shrink=130:130&_v=20211115130302,도시바 P300 7200/64M,162890원,4.7,도시바,2018년 07월,HDD (PC용),8.9cm(3.5인치),3TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm,,27/28dB,○,,KCC-REM-TSD-DT01ACA100인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,○,,,,
//img.danawa.com/prod_img/500000/303/297/img/7297303_1.jpg?shrink=130:130&_v=20200528110755,Western Digital Ultrastar DC HC520 7200/256M,464520원,4.9,Western Digital(제조사 웹사이트 바로가기),2019년 02월,HDD (기업용),8.9cm(3.5인치),12TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,255MB/s,CMR(PMR),플래터 8장,26.1mm,,20/36dB,,,MSIP-REM-HGJ-US7SAM120인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,○,,○,,,,,,,
//img.danawa.com/prod_img/500000/482/875/img/76875482_1.jpg?shrink=130:130&_v=20250225182116,Western Digital Ultrastar DC HC555 박스 패키지 7200/512M WUH722018CLE6L4,4880000원,N/A,Western Digital(제조사 웹사이트 바로가기),2025년 02월,HDD (기업용),8.9cm(3.5인치),18TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,269MB/s,CMR(PMR),,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,,,,○,,,,,,
//img.danawa.com/prod_img/500000/765/577/img/13577765_1.jpg?shrink=130:130&_v=20210311173349,Western Digital WD RED Plus 5400/128M,170000원,4.8,Western Digital(제조사 웹사이트 바로가기),2021년 03월,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,175MB/s,CMR(PMR),,26.1mm,180 TB/Y,23/27dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,100만시간,,,○,○,,,,,,
//img.danawa.com/prod_img/500000/267/003/img/17003267_1.jpg?shrink=130:130&_v=20240731155138,Western Digital WD Blue 5640/128M/해외구매,205000원,4.8,Western Digital WD,2021년 11월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,640RPM",메모리 128MB,185MB/s,CMR(PMR),,26.1mm,,25/30dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/157/562/img/63562157_1.jpg?shrink=130:130&_v=20240822161545,Seagate SkyHawk AI 7200/256M/해외구매,744900원,N/A,Seagate,2024년 08월,HDD (CCTV용),8.9cm(3.5인치),20TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,285MB/s,CMR(PMR),,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,,,○,,,,,,,
//img.danawa.com/prod_img/500000/509/875/img/76875509_1.jpg?shrink=130:130&_v=20250225183311,Western Digital Ultrastar DC HA340 패키지 7200/256M WUS721204BLE6L4,1752000원,N/A,Western Digital(제조사 웹사이트 바로가기),2025년 02월,HDD (기업용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,267MB/s,CMR(PMR),,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,200만시간,○,,○,,○,,,,○,
//img.danawa.com/prod_img/500000/451/162/img/76162451_1.jpg?shrink=130:130&_v=20250214184819,Western Digital Ultrastar DC HC555 패키지 7200/512M WUH722018CLE6L4,5112000원,N/A,Western Digital(제조사 웹사이트 바로가기),2025년 02월,HDD (기업용),8.9cm(3.5인치),18TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,269MB/s,CMR(PMR),,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,○,,,,,,,,,
//img.danawa.com/prod_img/500000/795/555/img/4555795_1.jpg?shrink=130:130&_v=20220629140050,Seagate IronWolf 5900/64M,174990원,4.7,Seagate,2016년 10월,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,900RPM",메모리 64MB,180MB/s,CMR(PMR),플래터 3장,26.1mm,180 TB/Y,23/25dB,,,MSIP-REM-STX-SKR001인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,100만시간,,○,,○,,,,,,
//img.danawa.com/prod_img/500000/743/860/img/13860743_1.jpg?shrink=130:130&_v=20210409162458,도시바 MG08ACA Enterprise 7200/512M,619000원,5.0,도시바(제조사 웹사이트 바로가기),2021년 04월,HDD (기업용),8.9cm(3.5인치),16TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,,CMR(PMR),,,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,250만시간,○,,○,,,,,,,
//img.danawa.com/prod_img/500000/194/207/img/18207194_1.jpg?shrink=130:130&_v=20230627160321,Seagate IronWolf Pro 7200/256M,783000원,4.9,Seagate,2022년 11월,HDD (NAS용),8.9cm(3.5인치),20TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,285MB/s,CMR(PMR),,26.11mm,550 TB/Y,28/30dB,,,R-R-STX-STL020인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,250만시간,○,○,,,,,,,,
